OBJECTID,Shape,id_compraventa,ano,coordenada_x,coordenada_y,nombre_compraventa,comuna_correg,barrio,direccion,tipo_compraventa,clasificacion_compraventa,tiempo_actividad_meses,dest_res_peligrosos,componentes_capacitado,entidades_capacitadoras,capacitado_ot_programas,cual_ot_programa,calidad_materiales,lunes,martes,miercoles,jueves,viernes,sabado,domingo,recoleccion_domicilio,compraventa_movil,compra_vende_almacena,beneficio,transf_materiaprima,transf_productermi,carro,motocarro,camioneta,camion,personal_contratado,personas_contratadas,f_diligenciamiento,Country
14,"(4714987.7382000005, 2253080.4152000006)",2722,2012,4714987.738,2253080.415,Chatarrer�a J.C,Comuna 5 Castilla,Alfonso L�pez,CL 91 B  71 B  24,Informal,Compra y Venta de material,9,No los manipula.,Ambiental,Universidad de Antioquia.,No,NR.,Regulares,Si,Si,Si,Si,Si,Si,No,No,No,Si,No,No,No,Si,No,No,No,No,0,34:47.0,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"(4715808.7666, 2255389.1427000016)",2727,2012,4715808.767,2255389.143,Carolina Cardona,Comuna 5 Castilla,Tejelo,CR 70   106 B  68,Informal,Compra y Venta de material,48,No los recolecta.,Ninguna,NR.,No,NR.,Regulares,Si,Si,Si,Si,Si,Si,No,Si,No,Si,No,No,No,No,No,Si,Si,No,0,11/13/2012 15:07,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"(4715131.112500002, 2252919.5028000027)",2734,2012,4715131.113,2252919.503,Chatarrer�a La 70,Comuna 5 Castilla,Alfonso L�pez,CR 70   91 A  101,Formal,Compra y Venta de material,84,No los manipula.,Ninguna,NR.,No,NR.,Regulares,Si,Si,Si,Si,Si,Si,No,Si,Si,Si,No,No,No,No,No,No,No,Si,3,11/13/2012 21:55,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"(4715130.800900001, 2252922.4026000015)",3035,2012,4715130.801,2252922.403,Compraventa La 70,Comuna 5 Castilla,Alfonso L�pez,CR 70   91 A  103,Formal,Compra y Venta de material,84,NR.,Ninguna,NR.,No,NR.,Buenos,Si,Si,Si,Si,Si,Si,No,Si,No,Si,No,No,No,No,No,No,No,Si,2,11/16/2012 15:43,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"(4718817.2012, 2249024.593700003)",3060,2012,4718817.201,2249024.594,El Descanso,Comuna 8 Villa Hermosa,Trece de Noviembre,CR 19   56 H  57,Formal,Compra y Venta de material,120,No los manipula.,Ninguna,NR.,No,NR.,Regulares,Si,Si,Si,Si,Si,Si,No,No,No,Si,No,No,No,No,No,No,No,No,0,11/16/2012 20:29,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"(4716011.748799999, 2249112.410000004)",3592,2012,4716011.749,2249112.41,Chatarrer�a Mu�oz,Comuna 10 La Candelaria,La Candelaria,CL 49   49 F  7,Informal,Compra y Venta de material,72,No los manipula.,Ninguna,NR.,No,NR.,Malos,Si,Si,Si,Si,Si,Si,Si,No,No,Si,No,No,No,No,No,No,No,No,0,11/29/2012 20:38,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"(4711749.913100001, 2246588.2873)",4015,2012,4711749.913,2246588.287,Chatarrer�a Ram�rez,Comuna 16 Bel�n,Altavista,CR 83   21   89,Formal,Compra y Venta de material,26,No los recolecta.,Ambiental,Secretar�a de Medio Ambiente de Medell�n.,No,NR.,Buenos,Si,Si,Si,Si,Si,Si,No,Si,No,Si,No,No,No,No,No,No,No,Si,1,12/10/2012 9:52,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"(4711066.426200001, 2247745.174800001)",4025,2012,4711066.426,2247745.175,Chatarrer�a La Mona,Comuna 16 Bel�n,Las Mercedes,CL 33 A  89 C  5,Informal,Compra y Venta de material,24,No los manipula.,Ninguna,NR.,No,NR.,Regulares,Si,Si,Si,Si,Si,Si,Si,Si,No,Si,No,No,No,No,No,No,No,No,0,12/10/2012 9:48,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"(4716273.9991000015, 2248501.430299999)",4548,2012,4716273.999,2248501.43,Servipl�sticos,Comuna 10 La Candelaria,Bombon� No.1,CR 43   45   25,Formal,Transformaci�n,240,No los recolecta.,Ninguna,NR.,No,NR.,Buenos,Si,Si,Si,Si,Si,Si,No,No,No,No,Si,Si,No,No,No,No,No,Si,7,12/17/2012 1:04,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"(4710808.043899999, 2251910.444600003)",4797,2012,4710808.044,2251910.445,Chatarrer�a El Muro,Comuna 7 Robledo,Olaya Herrera,CL 58   104   53,Informal,Compra y Venta de material,15,No los compra.,Ninguna,NR.,No,NR.,Regulares,Si,Si,Si,Si,Si,Si,Si,No,No,Si,No,No,No,No,No,No,No,No,0,12/19/2012 10:29,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"(4705782.792600001, 2241983.763000002)",4995,2012,4705782.793,2241983.763,Chatarrer�a Montoya L�pez,Corregimiento San Antonio de Prado,San Antonio de Prado-C_prado,CL 45  Sur 83   92,Formal,Compra y Venta de material,12,No llegan a la compraventa.,Ninguna,NR.,No,NR.,Buenos,Si,Si,Si,Si,Si,Si,No,Si,No,Si,No,No,No,Si,No,No,No,Si,1,12/21/2012 13:35,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"(4702448.7418, 2259709.4781000037)",5122,2012,4702448.742,2259709.478,Asociaci�n Ambiental de Recuperadores y Prestadores de Servicios de Palmitas Arrecuperar,Corregimiento Palmitas,Palmitas Sector Central-C_palmitas,CL 20   34   137,Formal,Compra y Venta de material,84,No los manipula.,Organizacional,UMATA y Universidad de Antioquia.,No,NR.,Buenos,Si,Si,Si,Si,Si,Si,No,Si,No,Si,No,No,No,No,Si,No,No,Si,9,12/26/2012 12:31,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"(4714364.8346, 2249508.341600001)",1536,2012,4714364.835,2249508.342,Excedentes Piamonte,Comuna 11 Laureles Estadio,Naranjal,CR 64 45 A 59,Formal,Compra y Venta de material,240,No los manejan.,Todos los anteriores,"Secretar�a de Medio Ambiente de Medell�n, Colegio Mayor de Antioquia, Asemar y Codesarrollo.",No,NR.,Regulares,Si,No,No,Si,No,No,No,Si,No,Si,No,Si,No,Si,No,No,No,No,0,10/29/2012 19:03,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"(4716576.8523, 2251844.7195999995)",2209,2012,4716576.852,2251844.72,Leo Moncada,Comuna 4 Aranjuez,Miranda,CR 51 78 41,Informal,Transformacion,2,Los deposita en la caneca de la basura.,Ninguna,NR,No,NR.,Buenos,Si,Si,Si,Si,Si,Si,No,No,No,Si,No,No,No,Si,No,No,No,No,0,11/2/2012 15:01,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"(4714878.390100001, 2253185.0896000005)",3040,2012,4714878.39,2253185.09,Gildardo Montoya,Comuna 5 Castilla,Alfonso Lopez,CR 71 C 89 B 84,Informal,Compra y Venta de material,6,No los manipula.,Ninguna,NR,No,NR.,Regulares,Si,Si,Si,Si,Si,Si,No,Si,No,Si,No,No,No,Si,No,No,No,No,0,11/16/2012 16:30,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"(4714364.8346, 2249508.341600001)",1000,2012,4714364.835,2249508.342,Excedentes Piamonte,Comuna 11 Laureles Estadio,Naranjal,CR 64   45 A  59,Formal,Compra y Venta de material,300,No los comercializan.,Todos los anteriores,"Colegio Mayor de Antioquia, Universidad de Antioquia, Universidad Pontificia Bolivariana y Esumer.",Si,Econom�a Solidaria,Buenos,Si,Si,Si,Si,Si,Si,No,Si,Si,Si,No,No,No,No,No,No,No,Si,12,10/20/2012 12:36,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"(4716819.7683, 2251031.856400002)",1234,2012,4716819.768,2251031.856,Excedentes Palac�,Comuna 4 Aranjuez,San Pedro,CR 50   69   23,Formal,Compra y Venta de material,84,NR.,Organizacional,Secretar�a de Medio Ambiente de Medell�n.,No,NR.,Buenos,Si,Si,Si,Si,Si,Si,No,Si,No,Si,No,No,No,No,No,No,No,No,0,10/26/2012 13:13,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"(4714460.2794, 2249400.9677000046)",1239,2012,4714460.279,2249400.968,Excedentes Industriales JM,Comuna 11 Laureles Estadio,Naranjal,CL 45 A  63 A  37,Formal,Compra y Venta de material,96,NR.,Ambiental,Secretar�a de Medio Ambiente de Medell�n.,No,NR.,Regulares,Si,Si,Si,Si,Si,Si,No,No,No,No,No,No,No,No,No,No,No,Si,22,10/26/2012 13:23,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"(4717297.8073, 2255325.101300001)",1313,2012,4717297.807,2255325.101,Segundas y Excedentes V�squez,Comuna 2 Santa Cruz,La Frontera,CR 52   112   95,Informal,Compra y Venta de material,24,No los compra.,Ninguna,NR.,No,NR.,Malos,Si,Si,Si,Si,Si,Si,Si,Si,No,Si,No,No,No,No,No,No,No,No,0,10/26/2012 14:52,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"(4719163.551500001, 2253348.786800001)",1251,2012,4719163.552,2253348.787,Chatarer�a El Barbao,Comuna 1 Popular,Carpinelo,CL 97   24 B  31,Formal,Compra y Venta de material,60,NR.,Organizacional,Secretar�a de Medio Ambiente de Medell�n.,No,NR.,Regulares,Si,Si,Si,Si,Si,Si,Si,Si,No,Si,No,No,No,No,No,No,No,No,0,10/26/2012 13:36,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"(4716305.0206, 2253263.230799999)",1253,2012,4716305.021,2253263.231,Roberto Antonio Osorio Grarc�s,Comuna 4 Aranjuez,Palermo,CR 55 A  93 E  65,Formal,Compra y Venta de material,60,No los recolectan.,Ninguna,NR.,No,NR.,Buenos,Si,Si,Si,Si,Si,Si,Si,Si,No,Si,No,No,No,No,No,No,No,Si,1,41:19.0,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"(4714384.7228, 2249227.148900004)",1263,2012,4714384.723,2249227.149,Excedentes Taboga,Comuna 11 Laureles Estadio,Naranjal,CR 64   44   72,Formal,Compra y Venta de material,144,No los manejan.,Ambiental,Coomeva.,No,NR.,Regulares,Si,Si,Si,Si,Si,Si,No,No,No,No,No,No,No,No,No,No,No,Si,2,10/26/2012 13:47,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"(4717250.226600002, 2255003.356100004)",1282,2012,4717250.227,2255003.356,Gilberto Mu�oz,Comuna 2 Santa Cruz,La Francia,CR 52   109 A  63,Formal,Compra y Venta de material,240,No los compran.,Ninguna,NR.,No,NR.,Buenos,Si,Si,Si,Si,Si,Si,No,No,No,Si,No,No,No,No,No,No,No,Si,5,10/26/2012 14:13,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"(4719246.702500001, 2253533.240099998)",1283,2012,4719246.703,2253533.24,Jos� Luis Duque,Comuna 1 Popular,Carpinelo,CR 23   99 B  45,Informal,Compra y Venta de material,13,NR.,Organizacional,Secretar�a de Salud de Medell�n.,No,NR.,Regulares,Si,Si,Si,Si,Si,Si,No,No,No,Si,No,No,No,No,No,No,No,No,0,10/26/2012 14:12,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"(4714375.183, 2249326.9092999995)",1289,2012,4714375.183,2249326.909,Excedentes Leandro,Comuna 11 Laureles Estadio,Naranjal,CR 64   44 B  25,Formal,Compra y Venta de material,72,No los maneja.,Ninguna,NR.,No,NR.,Buenos,Si,Si,Si,Si,Si,Si,Si,Si,No,No,No,No,No,No,No,No,No,Si,3,10/26/2012 14:19,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"(4716953.045000001, 2254360.0775000006)",1291,2012,4716953.045,2254360.078,Corporacion Tecnol�gica de Antioquia,Comuna 2 Santa Cruz,Villa Niza,CR 52   104   51,Formal,Compra y Venta de material,120,No los compran.,Ninguna,NR.,No,NR.,Malos,Si,Si,Si,Si,Si,Si,No,Si,No,Si,No,No,No,No,No,No,No,Si,2,10/26/2012 14:22,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"(4716944.823400001, 2254384.127199998)",1292,2012,4716944.823,2254384.127,Taller El Polvero Recuperadora,Comuna 2 Santa Cruz,Villa Niza,CR 52   104   17,Informal,Compra y Venta de material,336,No los compra.,Ninguna,NR.,No,NR.,Malos,Si,Si,Si,Si,Si,Si,No,Si,No,Si,Si,No,No,No,No,No,No,No,0,10/26/2012 14:32,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"(4714403.954300001, 2249407.9422999993)",1293,2012,4714403.954,2249407.942,Cashmetal,Comuna 11 Laureles Estadio,Naranjal,CL 45 A  63 B  31,Formal,Compra y Venta de material,3,No los manipulan.,Ninguna,NR.,No,NR.,Buenos,Si,Si,Si,Si,Si,Si,No,No,No,No,No,No,No,No,No,No,No,Si,1,10/26/2012 14:35,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"(4716931.2938, 2254308.8060000036)",1294,2012,4716931.294,2254308.806,Chatarrer�a Los Morales,Comuna 2 Santa Cruz,Villa Niza,CR 52   103   14,Formal,Compra y Venta de material,48,No los compra.,Ninguna,NR.,No,NR.,Buenos,Si,Si,Si,Si,Si,Si,No,No,No,Si,No,No,No,No,No,No,No,Si,1,10/26/2012 14:40,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"(4716881.421300001, 2254305.0283000004)",1296,2012,4716881.421,2254305.028,Comercializadora El R�o,Comuna 2 Santa Cruz,Santa Cruz,CR 52   102   25,Formal,Compra y Venta de material,36,no los compran.,Organizacional,Secretar�a de Salud de Medell�n.,No,NR.,Malos,Si,Si,Si,Si,Si,Si,No,No,No,Si,Si,No,No,No,No,No,No,Si,3,10/26/2012 14:45,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"(4716654.0802, 2251155.9426000006)",1298,2012,4716654.08,2251155.943,Chatarrer�a El �xito,Comuna 4 Aranjuez,San Pedro,CR 51   70 A  16,Informal,Compra y Venta de material,12,Los deposita en la caneca de basura.,Organizacional,Sena.,No,NR.,Buenos,Si,Si,Si,Si,Si,Si,No,Si,No,Si,Si,No,No,No,No,No,No,Si,1,10/26/2012 13:34,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"(4716455.732600002, 2251848.1423000023)",1299,2012,4716455.733,2251848.142,Geofuturo S.A.S,Comuna 4 Aranjuez,Miranda,CR 51 B  78   25,Formal,Compra y Venta de material,48,No los maneja.,Todos los anteriores,Fenalco y Secretar�a de Medio Ambiente de Medell�n.,No,NR.,Buenos,Si,Si,Si,Si,Si,Si,No,Si,No,Si,Si,No,No,No,No,No,No,Si,16,10/26/2012 13:53,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"(4716503.146800002, 2251857.450000001)",1301,2012,4716503.147,2251857.45,Cooperenka,Comuna 4 Aranjuez,Miranda,CR 51 B  78   40,Formal,Compra y Venta de material,36,No los manipula.,Todos los anteriores,"Comfenalco,Secretar�a del Medio Ambiente de Medell�n.",No,NR.,Buenos,Si,Si,Si,Si,Si,Si,No,Si,No,Si,Si,No,No,No,No,No,No,Si,17,10/26/2012 14:12,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"(4716599.575100002, 2251810.709400002)",1304,2012,4716599.575,2251810.709,Compraventa Los Lop�z,Comuna 4 Aranjuez,Miranda,CR 51   78   20,Formal,Compra y Venta de material,540,No manipulan este tipo de residuos.,Todos los anteriores,Municipio de Medell�n.,No,NR.,Buenos,Si,Si,Si,Si,Si,Si,No,No,No,Si,Si,No,No,No,No,No,No,Si,4,10/26/2012 14:27,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"(4716553.7389, 2251925.6103000026)",1308,2012,4716553.739,2251925.61,Excedente CPK,Comuna 4 Aranjuez,Miranda,CL 79   51   30,Formal,Compra y Venta de material,168,No los manipula.,Todos los anteriores,Comfenalco.,No,NR.,Buenos,Si,Si,Si,Si,Si,Si,No,Si,No,Si,No,No,No,No,No,No,No,Si,17,10/26/2012 14:45,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"(4714504.869000001, 2249405.120100001)",1314,2012,4714504.869,2249405.12,Comercializadora La Monta�a,Comuna 11 Laureles Estadio,Naranjal,CR 63 A  45   75,Formal,Compra y Venta de material,240,No los manejan.,Ninguna,NR.,No,NR.,Regulares,Si,Si,Si,Si,Si,Si,No,No,No,No,No,No,No,No,No,No,No,Si,3,51:14.0,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"(4718773.0599, 2254273.7010000013)",1316,2012,4718773.06,2254273.701,Chatarrer�a Hala Hala,Comuna 1 Popular,Santo Domingo Savio No.1,CR 33   107 A  2,Formal,Compra y Venta de material,72,NR.,Organizacional,Secretar�a de Medio Ambiente de Medell�n.,Si,Planeaci�n Estrat�gica.,Regulares,Si,Si,Si,Si,Si,Si,No,Si,Si,Si,No,No,No,Si,No,No,No,No,0,10/26/2012 14:52,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"(4717696.1637, 2255065.021300001)",1322,2012,4717696.164,2255065.021,Chatarrer�a La 111,Comuna 2 Santa Cruz,Pablo VI,CL 111 B  49 C  7,Formal,Compra y Venta de material,84,No los compran.,Ambiental,Secretar�a de Medio Ambiente de Medell�n.,No,NR.,Malos,Si,Si,Si,Si,Si,Si,No,No,No,Si,No,No,No,No,No,No,No,No,0,10/26/2012 14:59,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"(4714354.7647, 2249110.5468000025)",1326,2012,4714354.765,2249110.547,Chatarrer�a La Negra,Comuna 11 Laureles Estadio,San Joaqu�n,CL 44   63 D  41,Formal,Compra y Venta de material,24,No los maneja.,Ambiental,Secretar�a de Medio Ambiente de Medell�n.,No,NR.,Regulares,Si,Si,Si,Si,Si,Si,No,No,No,No,No,No,No,No,No,No,No,Si,1,10/26/2012 15:04,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"(4717235.9878, 2255115.3523999993)",1328,2012,4717235.988,2255115.352,Planta de Reciclaje El Paisa,Comuna 2 Santa Cruz,La Francia,CR 52   110   3,Formal,Compra y Venta de material,96,No los comercializa.,Ninguna,NR.,No,NR.,Buenos,Si,Si,Si,Si,Si,Si,No,Si,No,Si,No,No,No,No,No,No,No,Si,5,10/26/2012 15:07,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"(4718583.670300001, 2250892.528800003)",1361,2012,4718583.67,2250892.529,Chatarrer�a La 70,Comuna 3 Manrique,Versalles No.1,CL 70   31   21,Formal,Compra y Venta de material,2,No los toca ni los recolecta.,Ambiental,Secretar�a de Medio Ambiente y Secretar�a de Salud de Medell�n.,Si,Organizacional y empresarial.,Regulares,Si,Si,Si,Si,Si,No,No,No,No,Si,No,No,No,No,No,No,No,No,0,10/26/2012 13:51,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,"(4718552.5624, 2250821.064000001)",1362,2012,4718552.562,2250821.064,Jes�s Antonio G�mez Montoya,Comuna 3 Manrique,Versalles No.1,CL 69   31   52,Formal,Compra y Venta de material,120,No los recolecta.,Ambiental,Secretar�a de Medio Ambiente de Medell�n.,Si,Organizacional.,Buenos,Si,Si,Si,Si,Si,Si,Si,No,No,Si,No,No,No,No,No,No,No,No,0,10/26/2012 14:11,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
